task,row,col,x,y_coord,label,mean_ndvi
fvc_ndvi,4,3760,121.52858321210947,53.30153738323181,4,7628.6665
fvc_ndvi,5,3763,121.55553267063306,53.292554230390614,4,7847.0
fvc_ndvi,9,3721,121.17824025130285,53.25662161902583,4,7477.6665
fvc_ndvi,15,3716,121.13332448709687,53.20272270197866,4,7774.3335
fvc_ndvi,16,3707,121.05247611152612,53.19373954913747,4,7776.0
fvc_ndvi,20,3669,120.7111163035607,53.15780693777268,4,7491.3335
fvc_ndvi,21,3738,121.33095384960316,53.14882378493149,4,7572.3335
fvc_ndvi,21,3778,121.69027996325099,53.14882378493149,4,7668.3335
fvc_ndvi,23,3780,121.70824626893337,53.1308574792491,4,7718.0
fvc_ndvi,24,3668,120.7021331507195,53.121874326407905,4,7600.6665
fvc_ndvi,25,3703,121.01654350016133,53.11289117356671,4,7840.3335
fvc_ndvi,29,3713,121.1063750285733,53.07695856220193,4,7556.3335
fvc_ndvi,30,3711,121.0884087228909,53.067975409360734,4,7609.6665
fvc_ndvi,32,3769,121.60943158768022,53.05000910367834,4,7586.3335
fvc_ndvi,33,3654,120.57636901094277,53.041025950837145,4,7542.6665
fvc_ndvi,34,3692,120.91772881890819,53.03204279799595,4,7631.6665
fvc_ndvi,34,3693,120.92671197174938,53.03204279799595,4,7631.6665
fvc_ndvi,34,3743,121.37586961380914,53.03204279799595,4,7804.3335
fvc_ndvi,35,3703,121.01654350016133,53.02305964515476,4,7593.6665
fvc_ndvi,39,3770,121.61841474052142,52.987127033789974,4,7939.0
fvc_ndvi,42,3734,121.29502123823839,52.96017757526639,4,7657.6665
fvc_ndvi,44,3638,120.43263856548364,52.942211269584,4,7697.0
fvc_ndvi,45,3708,121.06145926436731,52.933228116742804,4,7733.6665
fvc_ndvi,45,3718,121.15129079277926,52.933228116742804,4,7431.0
fvc_ndvi,46,3751,121.4477348365387,52.92424496390161,4,7472.6665
fvc_ndvi,48,3635,120.40568910696007,52.90627865821922,4,7697.0
fvc_ndvi,52,3685,120.85484674901983,52.870346046854436,4,7590.3335
fvc_ndvi,53,3753,121.46570114222109,52.86136289401324,4,7797.6665
fvc_ndvi,58,3637,120.42365541264246,52.816447129807266,4,7749.3335
fvc_ndvi,58,3727,121.23213916835002,52.816447129807266,4,7546.0
fvc_ndvi,60,3714,121.11535818141448,52.79848082412487,4,7460.0
fvc_ndvi,61,3697,120.96264458311416,52.789497671283684,4,7704.3335
fvc_ndvi,62,3670,120.7200994564019,52.78051451844249,4,7581.0
fvc_ndvi,62,3734,121.29502123823839,52.78051451844249,4,7218.6665
fvc_ndvi,67,3620,120.27094181434214,52.73559875423651,4,7613.6665
fvc_ndvi,67,3645,120.49552063537202,52.73559875423651,4,7746.6665
fvc_ndvi,68,3612,120.19907659161257,52.726615601395316,4,7782.0
fvc_ndvi,69,3679,120.80094783197265,52.71763244855412,4,7630.6665
fvc_ndvi,71,3705,121.03450980584373,52.69966614287173,4,7416.3335
fvc_ndvi,73,3708,121.06145926436731,52.68169983718934,4,7460.0
fvc_ndvi,75,3660,120.63026792798993,52.66373353150695,4,7670.0
fvc_ndvi,78,3612,120.19907659161257,52.63678407298336,4,7679.3335
fvc_ndvi,78,3670,120.7200994564019,52.63678407298336,4,7672.0
fvc_ndvi,79,3702,121.00756034732015,52.627800920142164,4,7443.3335
fvc_ndvi,80,3625,120.3158575785481,52.618817767300975,4,7754.6665
fvc_ndvi,80,3672,120.73806576208429,52.618817767300975,4,7672.0
fvc_ndvi,86,3708,121.06145926436731,52.564918850253804,4,7151.6665
fvc_ndvi,96,3729,121.25010547403241,52.47508732184185,4,7577.3335
fvc_ndvi,99,3694,120.93569512459058,52.448137863318266,4,7241.0
fvc_ndvi,101,3671,120.7290826092431,52.43017155763587,4,7618.0
fvc_ndvi,102,3678,120.79196467913145,52.42118840479468,4,7586.3335
fvc_ndvi,103,3747,121.41180222517393,52.41220525195348,4,7444.0
fvc_ndvi,104,3681,120.81891413765504,52.403222099112284,4,7534.3335
fvc_ndvi,105,3700,120.98959404163776,52.394238946271095,4,7537.3335
fvc_ndvi,108,3708,121.06145926436731,52.367289487747506,4,7555.3335
fvc_ndvi,109,3824,122.10350499394596,52.35830633490631,4,7549.3335
fvc_ndvi,111,3845,122.29215120361106,52.34034002922392,4,7794.0
fvc_ndvi,112,3674,120.75603206776668,52.33135687638273,4,7642.3335
fvc_ndvi,112,3770,121.61841474052142,52.33135687638273,4,7666.6665
