class,support,producer_accuracy,user_accuracy,f1
0,654,0.9602446483180428,0.98125,0.9706336939721792
1,642,0.9672897196261683,0.8796033994334278,0.9213649851632049
2,971,0.8661174047373842,0.8180933852140078,0.8414207103551775
3,244,1.0,0.991869918699187,0.9959183673469388
4,834,0.7853717026378897,0.903448275862069,0.8402822322001282
