class,support,producer_accuracy,user_accuracy,f1
0,654,0.9663608562691132,0.9738058551617874,0.970069071373753
1,642,0.940809968847352,0.8895434462444771,0.9144587433762301
2,971,0.8805355303810505,0.8268858800773694,0.8528678304239402
3,244,1.0,0.9799196787148594,0.9898580121703854
4,834,0.8093525179856115,0.9196185286103542,0.8609693877551019
